Name_LoadLF,LibType,Parameter,Value, Unit
,,Nq,0,
,,connectionType,Yg,
TR_NZALDIVAR,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,7.65666667,MW
,,Np,0,
,,Q_loadLF,1.55333333333,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_OGP1,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,49.8666667,MW
,,Np,0,
,,Q_loadLF,13.466666667,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_SULFUROS,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,24.14666667,MW
,,Np,0,
,,Q_loadLF,8.9533333333333333,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_ESCONDIDA,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,36.2666667,MW
,,Np,0,
,,Q_loadLF,4.53333333,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_DOMEYKO,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,55.06333333,MW
,,Np,0,
,,Q_loadLF,14.756666667,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_BOM3_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,1.9,MW
,,Np,0,
,,Q_loadLF,-0.5,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_BOM4_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,1.9,MW
,,Np,0,
,,Q_loadLF,-0.5,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_BOM2_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,1.9,MW
,,Np,0,
,,Q_loadLF,0.5,MVAR
,,Nq,0,
,,connectionType,Yg,
ELPENON_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,4.8333333334,MW
,,Np,0,
,,Q_loadLF,0.13333333334,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_LA_CRUZ,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,3.67,MW
,,Np,0,
,,Q_loadLF,0.8,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_BARRILES,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,3.6866667,MW
,,Np,0,
,,Q_loadLF,1.29,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_COLOSO,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,44.926666667,MW
,,Np,0,
,,Q_loadLF,10.42,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_SGORDA,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,75.5,MW
,,Np,0,
,,Q_loadLF,22.9666667,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_MEJILLON,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,19.7533333,MW
,,Np,0,
,,Q_loadLF,4.63,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_NINSAL_N2,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,4.866666667,MW
,,Np,0,
,,Q_loadLF,1.97,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_CHACAYA110,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,20.19,MW
,,Np,0,
,,Q_loadLF,8.35,MVAR
,,Nq,0,
,,connectionType,Yg,
CAITAN220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,0,MW
,,Np,0,
,,Q_loadLF,0.3,MVAR
,,Nq,0,
,,connectionType,Yg,
CAPRICOR_110,PQ load Yg with load-flow (LF),Nominal_Voltage,110,kVRMSLL
,,P_loadLF,20.156666667,MW
,,Np,0,
,,Q_loadLF,5.7933333333,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_EL_LOA,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,7.83666667,MW
,,Np,0,
,,Q_loadLF,-0.1333,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_TOCOPILLA,PQ load Yg with load-flow (LF),Nominal_Voltage,100,kVRMSLL
,,P_loadLF,4.5,MW
,,Np,0,
,,Q_loadLF,5.8,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_SPENCE,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,35.22666667,MW
,,Np,0,
,,Q_loadLF,4.333333,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_PALLATA,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,0,MW
,,Np,0,
,,Q_loadLF,0,
,,Nq,0,
,,connectionType,Yg,
TR_ATACAM23,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,1.566667,MW
,,Np,0,
,,Q_loadLF,0.56666667,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_PURI220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,8.5,MW
,,Np,0,
,,Q_loadLF,1.76666667,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_ELABRA,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,35.7,MW
,,Np,0,
,,Q_loadLF,1.2,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_ZALDI220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,11.20333,MW
,,Np,0,
,,Q_loadLF,1.2466667,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_ELCOBRE,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,1.3,MW
,,Np,0,
,,Q_loadLF,0.666666667,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_KELLAR,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,0.1,MW
,,Np,0,
,,Q_loadLF,0.2,MVAR
,,Nq,0,
,,connectionType,Yg,
SAUX_U16,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,4.03333333333,MW
,,Np,0,
,,Q_loadLF,1.66666666666666666667,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_CHAMY_SSAA,PQ load Yg with load-flow (LF),Nominal_Voltage,100,kVRMSLL
,,P_loadLF,0.9,MW
,,Np,0,
,,Q_loadLF,0.233333334,MVAR
,,Nq,0,
,,connectionType,Yg,
L_CALAM,PQ load Yg with load-flow (LF),Nominal_Voltage,23,kVRMSLL
,,P_loadLF,1.96666666,MW
,,Np,0,
,,Q_loadLF,0.633333333,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_NORGENER,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,0.7333333333,MW
,,Np,0,
,,Q_loadLF,0.2,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_TCHITACK,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,10,MW
,,Np,0,
,,Q_loadLF,0,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_ESMERAL110,PQ load Yg with load-flow (LF),Nominal_Voltage,110,kVRMSLL
,,P_loadLF,27.36666667,MW
,,Np,0,
,,Q_loadLF,6.2666667,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_ANGAMOS,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,0.066666667,MW
,,Np,0,
,,Q_loadLF,0.56666666667,MVAR
,,Nq,0,
,,connectionType,Yg,
LF_IEM,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,1.1666667,MW
,,Np,0,
,,Q_loadLF,0.1,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_LLANOS220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,1.9,MW
,,Np,0,
,,Q_loadLF,0.1666667,MVAR
,,Nq,0,
,,connectionType,Yg,
L_SEA_CHU,PQ load Yg with load-flow (LF),Nominal_Voltage,100,kVRMSLL
,,P_loadLF,7.2333333334,MW
,,Np,0,
,,Q_loadLF,-6,MVAR
,,Nq,0,
,,connectionType,Yg,
L_SK1_CHU,PQ load Yg with load-flow (LF),Nominal_Voltage,100,kVRMSLL
,,P_loadLF,4.666666667,MW
,,Np,0,
,,Q_loadLF,-2.866666667,MVAR
,,Nq,0,
,,connectionType,Yg,
L_SE10_CHU,PQ load Yg with load-flow (LF),Nominal_Voltage,100,kVRMSLL
,,P_loadLF,9.333333334,MW
,,Np,0,
,,Q_loadLF,0.26666667,MVAR
,,Nq,0,
,,connectionType,Yg,
L_SE10A,PQ load Yg with load-flow (LF),Nominal_Voltage,100,kVRMSLL
,,P_loadLF,17.1666667,MW
,,Np,0,
,,Q_loadLF,3.73333333334,MVAR
,,Nq,0,
,,connectionType,Yg,
L_SKM6,PQ load Yg with load-flow (LF),Nominal_Voltage,100,kVRMSLL
,,P_loadLF,22.266666667,MW
,,Np,0,
,,Q_loadLF,3.6,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_SALAR_SE,PQ load Yg with load-flow (LF),Nominal_Voltage,100,kVRMSLL
,,P_loadLF,3.53333333334,MW
,,Np,0,
,,Q_loadLF,6.3,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_FARELLON,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,8.5,MW
,,Np,0,
,,Q_loadLF,1.76666667,MVAR
,,Nq,0,
,,connectionType,Yg,
AA100_110,PQ load Yg with load-flow (LF),Nominal_Voltage,100,kVRMSLL
,,P_loadLF,0.6,MW
,,Np,0,
,,Q_loadLF,2.9,MVAR
,,Nq,0,
,,connectionType,Yg,
L_COCHRA,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,0.23333333333334,MW
,,Np,0,
,,Q_loadLF,0.3,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_PALMON,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,7.21,MW
,,Np,0,
,,Q_loadLF,1.8,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_CONDORES,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,23.79,MW
,,Np,0,
,,Q_loadLF,11.84,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_COLLAHU,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,49.8,MW
,,Np,0,
,,Q_loadLF,3.06667,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_QBLANCA,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,4.96666666666667,MW
,,Np,0,
,,Q_loadLF,0.4,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_NVICTORIA,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,9.3333333333333,MW
,,Np,0,
,,Q_loadLF,4.16666666667,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_GEOGLIFOS,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,10.3333334,MW
,,Np,0,
,,Q_loadLF,2.28,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_PPATACHE,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,4.513333,MW
,,Np,0,
,,Q_loadLF,0.9266667,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_PARINACOTA,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,18.75,MW
,,Np,0,
,,Q_loadLF,-2.833333,MVAR
,,Nq,0,
,,connectionType,Yg,
Lagunas23,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,0,MW
,,Np,0,
,,Q_loadLF,0,MVAR
,,Nq,0,
,,connectionType,Yg,
PUQUIOS220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,57.66666666667,MW
,,Np,0,
,,Q_loadLF,8,MVAR
,,Nq,0,
,,connectionType,Yg,
COLLAH_PS,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,10.80667,MW
,,Np,0,
,,Q_loadLF,-0.186667,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_LPEU_N1,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,10.81,MW
,,Np,0,
,,Q_loadLF,4.666666667,MVAR
,,Nq,0,
,,connectionType,Yg,
PICOLTUE_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,2.21666666666,MW
,,Np,0,
,,Q_loadLF,3.166666666666667,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_HUALP_N1,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,28.3,MW
,,Np,0,
,,Q_loadLF,-8.213333333,MVAR
,,Nq,0,
,,connectionType,Yg,
CLAJA_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,3.536666666,MW
,,Np,0,
,,Q_loadLF,-2.68666666666666667,MVAR
,,Nq,0,
,,connectionType,Yg,
