Name_of_LF,Parameter,Value,Unit,AssociateSG
,P,75,MW,
,Qset,0,MVAR,
,Qmax,99,MVAR,
,Qmin,-99,MVAR,
LF_ANG_U2,BusType,PV,,Angamos_U2
,Voltage,18,kVRMSLL,
,P,100,MW,
,Qset,0,MVAR,
,Qmax,99,MVAR,
,Qmin,-99,MVAR,
LF_CDOM_U1,BusType,PV,,CDOM_U1
,Voltage,12.936,kVRMSLL,
,P,77,MW,
,Qset,0,MVAR,
,Qmax,133,MVAR,
,Qmin,-133,MVAR,
LF_CCH_U1,BusType,PV,,Cochrane_U1
,Voltage,17.00,kVRMSLL,
,P,100,MW,
,Qset,0,MVAR,
,Qmax,184,MVAR,
,Qmin,-118,MVAR,
LF_CPABE_U1,BusType,PV,,C_Pabellon_U1
,Voltage,9.8,kVRMSLL,
,P,15.9,MW,
,Qset,1.8,MVAR,
,Qmax,16.2355,MVAR,
,Qmin,-12.9884,MVAR,
LF_CPABE_U2,BusType,PV,,C_Pabellon_U2
,Voltage,9.8,kVRMSLL,
,P,16.2,MW,
,Qset,0,MVAR,
,Qmax,16.2355,MVAR,
,Qmin,-12.9884,MVAR,
LF_CPABE_U3,BusType,PV,,C_Pabellon_U3
,Voltage,9.8,kVRMSLL,
,P,17.9,MW,
,Qset,0,MVAR,
,Qmax,20,MVAR,
,Qmin,-16,MVAR,
LF_NTO_U1,BusType,PV,,NTO_U1
,Voltage,12.98,kVRMSLL,
,P,73.8,MW,
,Qset,0,MVAR,
,Qmax,46.95,MVAR,
,Qmin,-10.955,MVAR,
LF_NTO_U2,BusType,PV,,NTO_U2
,Voltage,13.6,kVRMSLL,
,P,54.5,MW,
,Qset,0,MVAR,
,Qmax,75,MVAR,
,Qmin,-50,MVAR,
LF_MAPA_TG7,BusType,PV,,MAPA_TG7
,Voltage,15,kVRMSLL,
,P,0,MW,
,Qset,480,MVAR,
,Qmax,225,MVAR,
,Qmin,-225,MVAR,
LF_MAPA_TG8,BusType,PV,,MAPA_TG8
,Voltage,15,kVRMSLL,
,P,0,MW,
,Qset,480,MVAR,
,Qmax,273,MVAR,
,Qmin,-273,MVAR,
LF_ANG_U2,BusType,PV,,Angostura_U2
,Voltage,13.524,kVRMSLL,
,P,121,MW,
,Qset,480,MVAR,
,Qmax,65,MVAR,
,Qmin,-65,MVAR,
LF_ANG_U3,BusType,PV,,Angostura_U3
,Voltage,13.524,kVRMSLL,
,P,13,MW,
,Qset,480,MVAR,
,Qmax,21.68,MVAR,
,Qmin,-21,MVAR,
LF2,BusType,PV,,Angostura_U1
,Voltage,13.8,kVRMSLL,
,P,112.3,MW,
,Qset,480,MVAR,
,Qmax,65,MVAR,
,Qmin,-65,MVAR,
LF_GUACOLDA_U1,BusType,PV,,Guacolda_U1
,Voltage,13.8,kVRMSLL,
,P,50,MW,
,Qset,480,MVAR,
